"","network","value","ids","region","or"
"1","DMN",-0.250103458038985,0,"(Intercept)",0.7787
"2","DMN",0.000432491854407986,7,"LH_ContC_Cingp_2",1.0004
"3","DMN",0.00213582146086346,8,"LH_ContC_pCun_1",1.0021
"4","DMN",0.00239613482575497,30,"LH_DefaultA_PCC_5",1.0024
"5","DMN",0.00410392401298108,45,"LH_DefaultB_IPL_5",1.0041
"6","DMN",0.00970411123778715,66,"LH_VisPeri_ExStrSup_22",1.0098
"7","DMN",0.00650328830181707,69,"RH_ContA_IPS_6",1.0065
"8","DMN",0.0100618090283157,102,"RH_DefaultA_PFCm_3",1.0101
"9","DMN",0.000621742022764518,103,"RH_DefaultA_PFCm_4",1.0006
"10","DMN",0.00268916251164568,114,"RH_DefaultB_PFCd_5",1.0027
"11","DMN",-0.00423034357664436,127,"RH_SalVentAttnB_IPL_1",0.9958
"12","Salience",-0.903970445005532,0,"(Intercept)",0.405
"13","Salience",0.0151967640646447,6,"LH_ContC_Cingp_4",1.0153
"14","Salience",0.00211964214196207,13,"LH_DefaultA_PCC_12",1.0021
"15","Salience",0.0492798538604627,21,"LH_DefaultB_PFCd_11",1.0505
"16","Salience",-0.0138705281840549,23,"LH_DefaultB_PFCd_2",0.9862
"17","Salience",0.0145859154096181,25,"LH_DefaultB_PFCd_5",1.0147
"18","Salience",0.0249890583541427,43,"LH_SalVentAttnA_FrMed_1",1.0253
"19","Salience",0.00457774201125258,68,"RH_ContB_PFCmp_2",1.0046
"20","Salience",0.00153882341166452,72,"RH_ContC_pCun_3",1.0015
"21","Salience",0.0216098558207228,118,"RH_TempPar_1",1.0218
"22","ECN_L",-0.639649153336239,0,"(Intercept)",0.5275
"23","ECN_L",1.57275141755318e-06,21,"LH_ContA_PFCl_7",1
"24","ECN_L",0.0123108738549175,22,"LH_ContA_PFCl_8",1.0124
"25","ECN_L",0.0192083060562088,31,"LH_ContB_PFCd_1",1.0194
"26","ECN_L",0.00265068576620651,42,"LH_ContC_pCun_10",1.0027
"27","ECN_L",-0.00330273128144304,109,"LH_DorsAttnB_PostC_3",0.9967
"28","ECN_R",-0.502834944206425,0,"(Intercept)",0.6048
"29","ECN_R",0.00420612991868784,9,"LH_ContC_pCun_10",1.0042
"30","ECN_R",0.00140429009221819,10,"LH_ContC_pCun_3",1.0014
"31","ECN_R",-0.00110649008144644,26,"RH_ContA_IPS_9",0.9989
"32","ECN_R",0.020977964766815,78,"RH_DefaultA_IPL_2",1.0212
"33","ECN_R",0.00668264952705492,87,"RH_DefaultA_PCC_6",1.0067
"34","ECN_R",-0.0053366130695577,96,"RH_DefaultB_PFCd_3",0.9947
"35","ECN_R",-0.0076177115137903,98,"RH_DefaultB_PFCd_6",0.9924
"36","ECN_R",-0.0013120914518864,109,"RH_DorsAttnA_SPL_9",0.9987
"37","ECN_R",5.73349093107186e-07,121,"RH_SalVentAttnB_IPL_3",1
"38","Hippocampal",-0.0121733309103724,0,"(Intercept)",0.9879
"39","Hippocampal",0.0240093620460406,19,"LH_VisPeri_ExStrSup_5",1.0243
"40","Hippocampal",0.00160915135247151,30,"RH_DefaultC_PHC_1",1.0016
"41","Hippocampal",0.00727137323738734,33,"RH_DefaultC_PHC_4",1.0073
"42","Hippocampal",-0.0021253438647117,34,"RH_DefaultC_Rsp_1",0.9979
"43","Hippocampal",0.0233085888499596,38,"RH_Limbic_TempPole_12",1.0236
"44","Hippocampal",0.0102504142677802,41,"RH_VisPeri_ExStrSup_2",1.0103
"45","Language",0.643006629646396,0,"(Intercept)",1.9022
"46","Language",0.00273248489517078,12,"LH_ContC_pCun_7",1.0027
"47","Language",0.0177549651930063,27,"LH_DefaultA_PCC_9",1.0179
"48","Language",0.00788205912694111,49,"LH_DorsAttnB_TempOcc_1",1.0079
"49","Language",0.0170922289248669,68,"RH_ContC_pCun_8",1.0172
"50","Language",0.00683221499677415,82,"RH_DefaultA_PCC_8",1.0069
"51","Language",0.00383710772378367,88,"RH_DefaultC_Rsp_1",1.0038
