"","network","value","ids","region","or"
"1","DMN",2.37408895841726e-17,0,"(Intercept)",1
"2","DMN",-3.00403158073653e-18,13,"LH_DefaultC_Rsp",1
"3","DMN",-3.93699982879795e-18,35,"RH_SalVentAttnB_IPL",1
"4","Salience",1.32862359520043e-16,0,"(Intercept)",1
"5","Salience",-8.68463811012911e-19,12,"LH_DefaultB_Temp",1
"6","Salience",-1.19464864912463e-18,16,"LH_SalVentAttnA_FrMed",1
"7","Salience",6.52026604034565e-19,28,"RH_DefaultA_IPL",1
"8","Salience",-1.0979487366796e-18,37,"RH_SalVentAttnA_FrMed",1
"9","Salience",-7.89024937627587e-19,39,"RH_SalVentAttnB_PFCl",1
"10","ECN_L",9.620926358927e-17,0,"(Intercept)",1
"11","ECN_L",5.45606524097916e-19,1,"LH_ContA_IPS",1
"12","ECN_L",-2.67938712391048e-19,8,"LH_ContB_PFClv",1
"13","ECN_L",3.10467557903199e-19,9,"LH_ContB_PFCmp",1
"14","ECN_L",-4.94641663436293e-19,13,"LH_DefaultA_PCC",1
"15","ECN_L",6.53831451650508e-19,16,"LH_DefaultB_IPL",1
"16","ECN_R",1.14720207207054e-16,0,"(Intercept)",1
"17","ECN_R",-1.60684268625222e-19,7,"RH_ContA_IPS",1
"18","ECN_R",1.88426724475625e-19,12,"RH_ContB_PFCld",1
"19","ECN_R",-1.88703057730917e-19,35,"RH_SalVentAttnB_PFCl",1
"20","Hippocampal",5.55111512312578e-17,0,"(Intercept)",1
"21","Hippocampal",0,1,"LH-Amygdala",1
"22","Language",-2.61302629974744e-17,0,"(Intercept)",1
"23","Language",4.73614082359735e-18,4,"LH_ContC_pCun",1
"24","Language",3.39642601919169e-18,8,"LH_DefaultB_IPL",1
"25","Language",4.93432162689428e-18,10,"LH_DefaultB_PFCv",1
"26","Language",-6.03798961420523e-18,12,"LH_DefaultC_Rsp",1
"27","Language",-2.77591970565789e-18,14,"LH_DorsAttnB_TempOcc",1
