"","region_stem","network","mean_importance"
"1",LH_Amygdala,Hippocampal,2.14668688745711
"2",LH_ContA_IPS,ECN_L,1.35480614575902
"3",LH_ContA_IPS,ECN_R,1.15583413058186
"4",LH_ContA_IPS,Salience,3.24902259892645
"5",LH_ContA_PFCl,ECN_L,1.62594143714516
"6",LH_ContB_IPL,ECN_L,2.82233139055958
"7",LH_ContB_IPL,ECN_R,1.9258901475314
"8",LH_ContB_PFCl,ECN_L,1.72222539049856
"9",LH_ContB_PFClv,ECN_L,1.38557878878069
"10",LH_ContC_Cingp,Salience,1.15901405260275
"11",LH_ContC_pCun,ECN_L,5.67864722089164
"12",LH_ContC_pCun,Language,1.25370915105202
"13",LH_ContC_pCun,Salience,1.12563169102385
"14",LH_ContC_pCun,Sensorimotor,1.85731396476297
"15",LH_ContC_pCun,Visual_lateral,0.945146338325888
"16",LH_ContC_pCun,Visual_medial,2.03036017050816
"17",LH_ContC_pCun,Visual_occipital,7.68036891372423
"18",LH_DefaultA_IPL,ECN_L,1.86149527980136
"19",LH_DefaultA_IPL,Language,4.19211192392856
"20",LH_DefaultA_IPL,Salience,1.02342862494361
"21",LH_DefaultA_PCC,DMN,1.64158242879731
"22",LH_DefaultA_PCC,ECN_L,2.6088941257763
"23",LH_DefaultA_PCC,Salience,2.70357449878462
"24",LH_DefaultA_PCC,Visual_lateral,8.69434133523398
"25",LH_DefaultA_PCC,Visual_medial,1.40595607880283
"26",LH_DefaultA_PFCd,DMN,1.22555887252105
"27",LH_DefaultA_PFCd,ECN_L,1.07722935679996
"28",LH_DefaultA_PFCm,DMN,1.86547110743169
"29",LH_DefaultB_IPL,DMN,4.91069272384778
"30",LH_DefaultB_IPL,ECN_L,2.80144724056797
"31",LH_DefaultB_IPL,Language,2.01193957704481
"32",LH_DefaultB_PFCd,Salience,2.06945207039378
"33",LH_DefaultB_PFCl,ECN_L,1.01094673680459
"34",LH_DefaultB_PFCv,Language,2.3856685751278
"35",LH_DefaultB_PFCv,Salience,3.82935446072073
"36",LH_DefaultC_PHC,Hippocampal,6.28445089692229
"37",LH_DefaultC_Rsp,DMN,3.35747520391097
"38",LH_DefaultC_Rsp,Hippocampal,1.08926789997538
"39",LH_DorsAttnA_SPL,ECN_L,0.954356513939921
"40",LH_DorsAttnA_SPL,Sensorimotor,2.05151300849872
"41",LH_DorsAttnA_SPL,Visual_lateral,1.37078351325607
"42",LH_DorsAttnA_TempOcc,Hippocampal,1.3787233632325
"43",LH_DorsAttnA_TempOcc,Visual_lateral,2.18849341966489
"44",LH_DorsAttnB_FEF,Sensorimotor,1.57317084057269
"45",LH_DorsAttnB_PostC,Sensorimotor,1.65337594796072
"46",LH_DorsAttnB_TempOcc,Language,1.17256701062781
"47",LH_Limbic_OFC,Salience,1.23552890887764
"48",LH_SalVentAttnA_FrMed,Auditory,1.80992004449189
"49",LH_SalVentAttnA_FrMed,ECN_L,1.92347472357061
"50",LH_SalVentAttnA_Ins,Auditory,1.28115324205631
"51",LH_SalVentAttnA_Ins,ECN_L,1.53238219709403
"52",LH_SalVentAttnA_ParOper,ECN_L,1.25475339109056
"53",LH_SalVentAttnB_PFCmp,Salience,1.07481232357996
"54",LH_SalVentAttnB_PFCv,Salience,1.53301775144431
"55",LH_SomMotA,Sensorimotor,1.81390835921729
"56",LH_SomMotB_Aud,Auditory,1.38011123486057
"57",LH_Thalamus_Proper,Hippocampal,6.12637473905476
"58",LH_VisCent_ExStr,Visual_lateral,1.45373031849297
"59",LH_VisCent_ExStr,Visual_medial,1.89815457884754
"60",LH_VisPeri_ExStrSup,Hippocampal,1.62156217589756
"61",LH_VisPeri_ExStrSup,Visual_lateral,1.48140952481698
"62",LH_VisPeri_ExStrSup,Visual_medial,2.60816856984632
"63",LH_VisPeri_ExStrSup,Visual_occipital,1.44869901631651
"64",RH_ContA_IPS,ECN_R,1.3242855285986
"65",RH_ContA_IPS,Salience,1.67531007800693
"66",RH_ContA_IPS,Visual_lateral,1.39496932182732
"67",RH_ContA_PFCl,ECN_R,3.40760411451787
"68",RH_ContB_IPL,DMN,3.04489588894475
"69",RH_ContB_IPL,ECN_R,1.32018081018503
"70",RH_ContB_IPL,Language,2.39113463857837
"71",RH_ContB_PFCld,ECN_R,1.88309821440331
"72",RH_ContC_pCun,Auditory,1.85507664065939
"73",RH_ContC_pCun,ECN_R,1.08986937621839
"74",RH_ContC_pCun,Sensorimotor,1.7479411915821
"75",RH_ContC_pCun,Visual_medial,1.40946850859006
"76",RH_DefaultA_IPL,ECN_R,7.62707160112008
"77",RH_DefaultA_IPL,Hippocampal,1.02566561025168
"78",RH_DefaultA_IPL,Language,1.43760387191482
"79",RH_DefaultA_IPL,Salience,2.83809474384586
"80",RH_DefaultA_PCC,DMN,1.73053402135078
"81",RH_DefaultA_PCC,ECN_R,2.55271751078578
"82",RH_DefaultA_PCC,Hippocampal,1.6977803688251
"83",RH_DefaultA_PCC,Language,0.942522220904755
"84",RH_DefaultA_PCC,Visual_medial,3.06637789493104
"85",RH_DefaultA_PFCd,ECN_R,2.04003211844575
"86",RH_DefaultA_PFCm,Salience,1.74384590423748
"87",RH_DefaultB_PFCv,Salience,1.19701857264086
"88",RH_DefaultC_IPL,ECN_R,1.27674461294536
"89",RH_DefaultC_Rsp,Hippocampal,2.38509945129768
"90",RH_DorsAttnA_SPL,ECN_R,1.22253064448065
"91",RH_DorsAttnA_SPL,Sensorimotor,3.27735519067555
"92",RH_DorsAttnA_SPL,Visual_lateral,0.941181491757468
"93",RH_DorsAttnA_TempOcc,DMN,1.49013721409152
"94",RH_DorsAttnB_FEF,Sensorimotor,1.09675404424324
"95",RH_DorsAttnB_PostC,ECN_R,3.31749235773287
"96",RH_DorsAttnB_PostC,Sensorimotor,3.90720631259312
"97",RH_SalVentAttnA_FrMed,Salience,1.18104069241338
"98",RH_SalVentAttnA_FrMed,Sensorimotor,1.07810640912439
"99",RH_SalVentAttnA_Ins,Auditory,1.02254949974914
"100",RH_SalVentAttnA_Ins,Salience,3.6700797443266
"101",RH_SalVentAttnA_ParOper,Auditory,1.08026616636667
"102",RH_SalVentAttnB_IPL,Language,0.985876488142195
"103",RH_SalVentAttnB_PFCv,ECN_R,4.26808110013912
"104",RH_SalVentAttnB_PFCv,Salience,2.36082004967464
"105",RH_SomMotA,Auditory,1.63603429784936
"106",RH_SomMotA,Sensorimotor,2.54298883715712
"107",RH_SomMotB_S2,Auditory,2.45829402521401
"108",RH_TempPar,DMN,3.87803189736511
"109",RH_TempPar,Language,1.38348022022507
"110",RH_Thalamus_Proper,Hippocampal,7.99369537512041
"111",RH_VisCent_ExStr,Visual_lateral,1.72294411340816
"112",RH_VisCent_ExStr,Visual_medial,1.83726715994214
"113",RH_VisCent_ExStr,Visual_occipital,1.14611731052994
"114",RH_VisPeri_ExStrSup,Visual_medial,1.63770287059516
"115",RH_VisPeri_ExStrSup,Visual_occipital,1.80907079955469
