"","region_stem","network","mean_importance"
"1",LH_ContA_PFCl,ECN_L,9.5857864914317
"2",LH_ContC_Cingp,Salience,5.17800704415684
"3",LH_ContC_pCun,ECN_L,2.96944242778721
"4",LH_DefaultB_IPL,DMN,3.92450260296713
"5",LH_DefaultB_PFCd,Salience,6.26151256166629
"6",LH_DefaultB_PFCv,Salience,9.86859330845537
"7",LH_SalVentAttnA_FrMed,Salience,4.99743917607117
"8",LH_SalVentAttnB_PFCv,Salience,7.35910571692611
"9",LH_SomMotB_Aud,Auditory,5.07604005204317
"10",LH_VisPeri_ExStrSup,ECN_L,3.69357613352357
"11",LH_VisPeri_ExStrSup,Hippocampal,3.52387973965686
"12",RH_ContC_pCun,Language,6.47111291715697
"13",RH_DefaultA_IPL,ECN_R,3.26097233023197
"14",RH_DefaultA_PCC,ECN_R,4.27287112568073
"15",RH_DefaultB_PFCd,Salience,6.18919879946399
"16",RH_DefaultB_PFCv,Salience,3.13274402865024
"17",RH_DefaultC_PHC,Hippocampal,4.88852277432298
"18",RH_DorsAttnA_SPL,Visual_lateral,4.53547586003313
"19",RH_DorsAttnA_TempOcc,Visual_lateral,5.69205715456343
"20",RH_Limbic_TempPole,Hippocampal,4.63086029101962
"21",RH_SalVentAttnB_IPL,DMN,4.01102953186078
"22",RH_VisCent_ExStr,Visual_lateral,4.29140863697848
"23",RH_VisPeri_ExStrSup,Visual_lateral,3.77551494196143
"24",RH_VisPeri_ExStrSup,Visual_medial,3.89349702916708
