"","region_stem","network","mean_importance"
"1",LH_Amygdala,Hippocampal,0.169434212160472
"2",LH_ContC_pCun,ECN_L,0.32269341231292
"3",LH_ContC_pCun,Sensorimotor,0.182213151661914
"4",LH_ContC_pCun,Visual_occipital,0.238339780914863
"5",LH_DefaultA_IPL,Language,0.16735252278569
"6",LH_DefaultA_PCC,Salience,0.209085449396346
"7",LH_DefaultA_PCC,Visual_lateral,0.253584109936876
"8",LH_DefaultB_IPL,DMN,0.218821620274657
"9",LH_DefaultC_PHC,Hippocampal,0.241866858147428
"10",LH_DorsAttnA_SPL,Sensorimotor,0.169022480339102
"11",LH_SomMotB_Aud,Auditory,0.185365086013271
"12",LH_Thalamus_Proper,Hippocampal,0.208828064261071
"13",RH_ContB_PFClv,ECN_R,0.153717610193122
"14",RH_DefaultA_IPL,ECN_R,0.199818527864058
"15",RH_DorsAttnA_SPL,Sensorimotor,0.232474537256374
"16",RH_SalVentAttnA_Ins,Salience,0.199099125314466
"17",RH_SalVentAttnB_PFCv,ECN_R,0.250283016532156
"18",RH_TempPar,DMN,0.167072447948596
