"","region_stem","network","mean_importance"
"1",LH_ContA_PFCl,ECN_L,0.206624394563984
"2",LH_ContC_Cingp,Salience,0.139334928200454
"3",LH_DefaultA_PFCm,DMN,0.0797733041794806
"4",LH_DefaultB_PFCd,Salience,0.204828252646906
"5",LH_DefaultB_PFCv,Salience,0.313129479605362
"6",LH_DefaultC_Rsp,DMN,0.101003188086423
"7",LH_SalVentAttnA_FrMed,Salience,0.102980580628522
"8",LH_SalVentAttnB_PFCv,Salience,0.200082432991845
"9",LH_SomMotB_Aud,Auditory,0.120696339673398
"10",LH_VisPeri_ExStrSup,Hippocampal,0.0700060480352121
"11",RH_ContA_PFCl,ECN_R,0.0925128806814101
"12",RH_ContC_pCun,Language,0.167679157533213
"13",RH_DefaultA_PCC,ECN_R,0.137186070498129
"14",RH_DefaultB_PFCd,Salience,0.181495789831084
"15",RH_DefaultC_PHC,Hippocampal,0.128727271421389
"16",RH_DorsAttnA_SPL,Visual_lateral,0.166894249518971
"17",RH_DorsAttnB_TempOcc,Language,0.0655252743644385
"18",RH_TempPar,Salience,0.0682302092352092
"19",RH_VisCent_ExStr,Visual_lateral,0.0876611177384706
"20",RH_VisPeri_ExStrSup,Visual_lateral,0.103236947235771
"21",RH_VisPeri_ExStrSup,Visual_medial,0.063492235346353
