"","region_stem","network","mean_mdg"
"1","LH.Amygdala","Hippocampal",0.864204265325888
"2","LH.Hippocampus","Hippocampal",0.50509978218487
"3","LH.Thalamus.Proper","Hippocampal",1.06130482773543
"4","LH_ContA_IPS","Salience",0.322162304590159
"5","LH_ContA_Temp","ECN_L",0.183891534656404
"6","LH_ContB_IPL","Language",0.315178831526927
"7","LH_ContB_PFClv","ECN_L",0.236963480376992
"8","LH_ContC_Cingp","Language",0.214998888749041
"9","LH_ContC_pCun","ECN_L",0.661030607445683
"10","LH_ContC_pCun","Language",0.346197719655315
"11","LH_ContC_pCun","Salience",0.235794938363825
"12","LH_DefaultA_IPL","Language",0.552019724920362
"13","LH_DefaultA_PCC","ECN_L",0.23660821763788
"14","LH_DefaultA_PCC","Hippocampal",0.29312575455405
"15","LH_DefaultA_PCC","Salience",0.317609426866643
"16","LH_DefaultA_PFCd","DMN",0.268666651621473
"17","LH_DefaultA_PFCm","DMN",0.276521840124844
"18","LH_DefaultA_PFCm","Language",0.236832811596407
"19","LH_DefaultB_IPL","DMN",0.563119132358611
"20","LH_DefaultB_IPL","ECN_L",0.270914109000524
"21","LH_DefaultB_IPL","Language",0.286882532123267
"22","LH_DefaultB_PFCd","Salience",0.251119748859945
"23","LH_DefaultB_PFCv","Language",0.282827674358727
"24","LH_DefaultB_Temp","Salience",0.195405735431433
"25","LH_DefaultC_PHC","Hippocampal",0.631892203799828
"26","LH_DefaultC_Rsp","DMN",0.356159858910462
"27","LH_DefaultC_Rsp","Hippocampal",0.182424038911217
"28","LH_DefaultC_Rsp","Language",0.368994961327517
"29","LH_DorsAttnA_TempOcc","Hippocampal",0.372779352906979
"30","LH_Limbic_OFC","Salience",0.254042410126919
"31","LH_SalVentAttnA_Ins","ECN_L",0.306184093000822
"32","LH_SalVentAttnA_Ins","Salience",0.217049845882307
"33","LH_SalVentAttnA_ParOper","ECN_L",0.222609353877038
"34","LH_SalVentAttnB_PFCv","Language",0.31323516199142
"35","LH_TempPar","Language",0.383306583697751
"36","LH_VisPeri_ExStrSup","Hippocampal",0.424390487027303
"37","RH.Amygdala","Hippocampal",0.371297104648969
"38","RH.Hippocampus","Hippocampal",0.405049968927734
"39","RH.Thalamus.Proper","Hippocampal",0.975110663184547
"40","RH_ContA_IPS","ECN_R",0.179016186669643
"41","RH_ContA_PFCl","ECN_R",0.244154409334749
"42","RH_ContA_Temp","ECN_R",0.229380124983529
"43","RH_ContB_IPL","DMN",0.340726396416215
"44","RH_ContB_PFCld","ECN_R",0.289011398476311
"45","RH_ContB_PFCmp","Salience",0.219265787129455
"46","RH_ContC_Cingp","Language",0.217605448995071
"47","RH_ContC_pCun","ECN_R",0.211561192386911
"48","RH_DefaultA_IPL","ECN_R",0.42940860839477
"49","RH_DefaultA_IPL","Salience",0.410085335188741
"50","RH_DefaultA_PCC","DMN",0.178047815949857
"51","RH_DefaultA_PCC","ECN_R",0.205462356670724
"52","RH_DefaultA_PCC","Hippocampal",0.454796242610905
"53","RH_DefaultA_PCC","Language",0.258344713570433
"54","RH_DefaultA_PFCm","DMN",0.23726187203063
"55","RH_DefaultA_PFCm","Salience",0.253945654385942
"56","RH_DefaultB_Temp","Salience",0.222485071266164
"57","RH_DefaultC_IPL","ECN_R",0.242285899709214
"58","RH_DefaultC_IPL","Hippocampal",0.292279971358284
"59","RH_DefaultC_Rsp","Hippocampal",0.31212009320802
"60","RH_SalVentAttnA_ParOper","DMN",0.228716244474705
"61","RH_SalVentAttnB_IPL","Language",0.381237181096081
"62","RH_SalVentAttnB_PFCv","ECN_R",0.432027670517837
"63","RH_SalVentAttnB_PFCv","Salience",0.302210225633386
"64","RH_TempPar","DMN",0.446160304056307
"65","RH_TempPar","Language",0.26603188705725
"66","RH_VisCent_ExStr","Hippocampal",0.253284752497343
"67","RH_VisPeri_ExStrSup","Hippocampal",0.404076857727139
